taxon,specimen,ITS,psbA_trnH,psbJ_petA,rbcL,trnL_trnF,ycf1,trnT_trnL,ncpGS,trnS_trnG
Oxalis_suborbiculata,Cabral110,OQ623656,NA,OR099861,NA,OR099884,NA,NA,NA,NA
Oxalis_umbraticola,Nery91,NA,NA,PQ585601,NA,PQ585617,NA,NA,NA,NA
Oxalis_umbraticola,Richetti69,PQ536105,NA,PQ585600,NA,PQ585616,NA,NA,NA,NA
Oxalis_corniculata,Emshwiller793,JN603192,NA,JN836781,NA,EU437126,NA,JN836851,NA,NA
Oxalis_oregana,Olmstead2003-33,JN159893,NA,JN836782,NA,JN639536,NA,JN836852,NA,NA
Oxalis_acetosella,Emshwiller114,JN603193,NA,JN836783,NA,JN639537,NA,JN836853,NA,NA
Oxalis_rosea,Lammers7916,JN603194,NA,JN836784,NA,JN639538,NA,JN836854,NA,NA
Oxalis_laxa_subsp_hispidissima,Emshwiller1111,JN603195,NA,NA,NA,JN639539,NA,JN836855,NA,NA
Oxalis_megalorrhiza,Emshwiller773,JN603196,NA,NA,NA,EU437139,NA,JN836856,NA,NA
Oxalis_ptychoclada,Emshwiller916,JN603197,NA,JN836786,NA,EU437134,NA,JN836857,NA,NA
Oxalis_tuberosa,Emshwiller50_02,JN603198,NA,JN836787,NA,JN639540,NA,NA,NA,NA
Oxalis_articulata_forma_crassipes,Emshwiller463,JN618506,NA,JN836788,NA,EU437146,NA,JN836859,NA,NA
Oxalis_articulata_subsp_rubra,Emshwiller146,JN618507,NA,JN836789,NA,EU437147,NA,JN836860,NA,NA
Oxalis_floribunda,Vaio358,JN836767,NA,JN836790,NA,JN836758,NA,JN836861,NA,NA
Oxalis_linarantha,Wasum3369,JN618508,NA,NA,NA,JN639541,NA,JN836862,NA,NA
Oxalis_incarnata,Emshwiller149,JN618509,NA,JN836791,NA,JN639542,NA,JN836863,NA,NA
Oxalis_pes-caprae,Emshwiller608,JN618510,NA,JN836792,NA,EU437145,NA,NA,NA,NA
Oxalis_adenophylla,GardnerADEPH1,JN618511,NA,JN836802,NA,JN639550,NA,JN836872,NA,NA
Oxalis_triangularis_subsp_papilionacea,Emshwiller456,JN618512,NA,JN836793,NA,EU437141,NA,JN836864,NA,NA
Oxalis_alpina,Gardner45,JN618513,NA,JN836794,NA,JN639543,NA,JN836865,NA,NA
Oxalis_alpina,Weller956,JN618515,NA,JN836796,NA,JN639545,NA,JN836867,NA,NA
Oxalis_alpina,Weller976,JN618514,NA,JN836795,NA,JN639544,NA,JN836866,NA,NA
Oxalis_cf_alpina,Weller979,JN618565,NA,JN836846,NA,JN639584,NA,JN836913,NA,NA
Oxalis_argentina,Emshwiller235,JN618516,NA,JN836797,NA,EU437143,NA,NA,NA,NA
Oxalis_bipartita_subsp_bipartita,Vaio59,JN836777,NA,NA,NA,JN836764,NA,NA,NA,NA
Oxalis_bipartita_subsp_bipartita,Vaio320,JN836778,NA,JN836810,NA,NA,NA,JN836880,NA,NA
Oxalis_brasiliensis,EmshwillerBRAS2,JN618520,NA,JN836798,NA,JN639546,NA,JN836868,NA,NA
Oxalis_brasiliensis,Vaio337,JN836768,NA,JN836812,NA,JN836766,NA,MV337,NA,NA
Oxalis_brasiliensis,Vaio55,JN836769,NA,NA,NA,NA,NA,NA,NA,NA
Oxalis_brasiliensis,Vaio70,JN836770,NA,NA,NA,NA,NA,NA,NA,NA
Oxalis_caerulea,Gardner39,JN618517,NA,JN836800,NA,JN639548,NA,JN836870,NA,NA
Oxalis_caerulea,Gardner47,JN618518,NA,JN836801,NA,JN639549,NA,JN836871,NA,NA
Oxalis_cardenasiana,Wood22331,JN618519,NA,JN836799,NA,JN639547,NA,JN836869,NA,NA
Oxalis_debilis_var_debilis,Emshwiller171,JN618521,NA,JN836803,NA,EU437144,NA,JN836873,NA,NA
Oxalis_debilis_var_debilis,Emshwiller445,NA,NA,JN836804,NA,JN639551,NA,JN836874,NA,NA
Oxalis_debilis_var_corymbosa,Vaio62,JN836774,NA,JN836806,NA,JN836760,NA,JN836876,NA,NA
Oxalis_decaphylla,Gardner29,JN618522,NA,JN836813,NA,JN639552,NA,JN836882,NA,NA
Oxalis_decaphylla,Rodriguez2610,JN618524,NA,JN836820,NA,JN639559,NA,JN836889,NA,NA
Oxalis_discolor,Gardner35,JN618525,NA,JN836821,NA,JN639560,NA,JN836890,NA,NA
Oxalis_divergens,Gardner58,JN618527,NA,JN836822,NA,JN639561,NA,JN836891,NA,NA
Oxalis_divergens,Gardner62,JN618526,NA,JN836814,NA,JN639553,NA,JN836883,NA,NA
Oxalis_drummondii,Weller965,JN618528,NA,JN836823,NA,JN639562,NA,JN836892,NA,NA
Oxalis_eriolepis,Emshwiller155,JN618530,NA,JN836824,NA,JN639563,NA,JN836893,NA,NA
Oxalis_eriolepis,Emshwiller559,JN618529,NA,JN836815,NA,JN639554,NA,JN836884,NA,NA
Oxalis_galeottii,Gardner60,JN618531,NA,JN836827,NA,JN639566,NA,JN836895,NA,NA
Oxalis_gregaria,Roe1597,JN618532,NA,JN836826,NA,JN639565,NA,NA,NA,NA
Oxalis_hernandesii,Gardner26,JN618533,NA,JN836828,NA,JN639567,NA,JN836896,NA,NA
Oxalis_hernandesii,Gardner56,JN618534,NA,JN836825,NA,JN639564,NA,JN836894,NA,NA
Oxalis_hispidula,Vaio342,JN836775,NA,NA,NA,NA,NA,JN836881,NA,NA
Oxalis_hispidula,Vaio44,JN836776,NA,JN836811,NA,JN836765,NA,NA,NA,NA
Oxalis_jacquiniana,Gardner43,JN618535,NA,JN836830,NA,JN639569,NA,JN836898,NA,NA
Oxalis_jacquiniana,Gardner59,JN618536,NA,JN836829,NA,JN639568,NA,JN836897,NA,NA
Oxalis_lasiandra,Gardner69,JN618537,NA,JN836831,NA,JN639570,NA,JN836899,NA,NA
Oxalis_latifolia,Gardner38,JN618539,NA,JN836834,NA,JN639573,NA,JN836902,NA,NA
Oxalis_latifolia,Gardner70,JN618538,NA,JN836832,NA,JN639571,NA,JN836900,NA,NA
Oxalis_latifolia,Emshwiller439,JN618540,NA,JN836835,NA,JN639574,NA,JN836903,NA,NA
Oxalis_latifolia,Emshwiller508,JN618545,NA,JN836836,NA,JN639575,NA,JN836904,NA,NA
Oxalis_latifolia,Emshwiller756,JN618548,NA,JN836837,NA,JN639576,NA,JN836905,NA,NA
Oxalis_latifolia,VaioC12,JN836771,NA,NA,NA,NA,NA,NA,NA,NA
Oxalis_latifolia,GonsiskaN,JN618552,NA,JN836817,NA,JN639556,NA,JN836886,NA,NA
Oxalis_macrocarpa,Gardner49,JN618556,NA,JN836819,NA,JN639558,NA,JN836888,NA,NA
Oxalis_macrocarpa,Gardner53,JN618555,NA,JN836838,NA,JN639577,NA,JN836906,NA,NA
Oxalis_magnifica,Gardner68,JN618557,NA,JN836839,NA,JN639578,NA,JN836907,NA,NA
Oxalis_morelosii,Perez4856,JN618558,NA,JN836840,NA,JN639579,NA,JN836908,NA,NA
Oxalis_nelsonii,Gardner66,JN618559,NA,JN836841,NA,JN639580,NA,JN836909,NA,NA
Oxalis_oreocharis,Emshwiller583,JN618561,NA,JN836843,NA,EU437142,NA,JN836911,NA,NA
Oxalis_oreocharis,Emshwiller795,JN618560,NA,JN836842,NA,JN639581,NA,JN836910,NA,NA
Oxalis_perdicaria,Vaio348,NA,NA,JN836807,NA,JN836761,NA,JN836877,NA,NA
Oxalis_perdicaria,Vaio79,JN836772,NA,JN836808,NA,JN836762,NA,JN836878,NA,NA
Oxalis_pinguiculacea,Wood22147,JN618562,NA,JN836818,NA,JN639557,NA,JN836887,NA,NA
Oxalis_primavera,Gardner48,JN618564,NA,JN836845,NA,JN639583,NA,NA,NA,NA
Oxalis_primavera,Gardner50,JN618563,NA,JN836844,NA,JN639582,NA,JN836912,NA,NA
Oxalis_sellowiana_forma_alba,Vaio282,JN836779,NA,JN836809,NA,JN836763,NA,JN836879,NA,NA
Oxalis_sellowiana,Vaio73,JN836780,NA,JN836805,NA,JN836759,NA,JN836875,NA,NA
Oxalis_tetraphylla,EmshwillerDEPP,JN618566,NA,JN836847,NA,JN639585,NA,JN836914,NA,NA
Oxalis_tetraphylla,EmshwillerTETRA2,JN618567,NA,JN836848,NA,JN639586,NA,JN836915,NA,NA
Oxalis_trollii,Wood22158,JN618569,NA,JN836849,NA,JN639587,NA,JN836916,NA,NA
Oxalis_trollii,Emshwiller281,JN618568,NA,JN836816,NA,JN639555,NA,JN836885,NA,NA
Oxalis_violacea,GardnerAGVIO1,JN618570,NA,JN836850,NA,JN639588,NA,JN836917,NA,NA
Oxalis_acetosella,HeiblBotGardenMunich01,JN634720,JN592057,NA,JN587320,JN620117,NA,JN620084,NA,JN627218
Oxalis_adenophylla,HeiblPfanzelt05-024,JN634721,JN592058,NA,JN587321,JN620118,NA,JN620085,NA,NA
Oxalis_arbuscula,HeiblPfanzelt05-050,JN634722,JN592059,NA,JN587322,JN620119,NA,JN620086,NA,NA
Oxalis_arenaria,Heibl03-094,JN634723,JN592060,NA,JN587330,JN620120,NA,JN620087,NA,JN627219
Oxalis_atacamensis,Heibl01-054,JN634724,JN592061,NA,JN587323,JN620121,NA,JN620088,NA,NA
Oxalis_aureoflava,Zollitsch61,NA,JN592062,NA,NA,JN620122,NA,NA,NA,NA
Oxalis_aureoflava,Munoz4871,JN634725,NA,NA,NA,NA,NA,NA,NA,JN627220
Oxalis_bulbocastanum,Heibl01-071,JN634726,JN592063,NA,JN587324,JN620123,NA,JN620089,NA,NA
Oxalis_caesia,Heibl02-012,JN634727,JN602084,NA,JN587325,JN620124,NA,JN620090,NA,JN627221
Oxalis_cinerea,Heibl03-095,JN634728,JN602085,NA,NA,JN620125,NA,JN620091,NA,NA
Oxalis_compacta,Teillier5013,JN634729,JN602086,NA,NA,NA,NA,NA,NA,NA
Oxalis_corniculata,Gravendeel723,JN634730,JN602087,NA,JN587331,JN620126,NA,NA,NA,NA
Oxalis_dumetorum,Mihoc7330,JN634731,JN602088,NA,NA,NA,NA,NA,NA,JN627222
Oxalis_enneaphylla,HeiblMunozToro04-046,NA,NA,NA,JN587326,NA,NA,NA,NA,NA
Oxalis_enneaphylla,HeiblMunozToro04-045,JN634732,JN602089,NA,NA,JN620127,NA,JN620092,NA,JN627223
Oxalis_erythrorhiza,Teillier4547,NA,JN602090,NA,NA,NA,NA,NA,NA,NA
Oxalis_fontana,GravendeelKoops302,NA,JN602091,NA,NA,NA,NA,NA,NA,NA
Oxalis_gigantea,Ehrhart_6-244,NA,NA,NA,NA,JN620128,NA,NA,NA,NA
Oxalis_gigantea,HeiblMunozToro04-010,JN634733,NA,NA,NA,NA,NA,JN620093,NA,JN627224
Oxalis_gigantea,HeiblMunozToro04-013,NA,JN602092,NA,NA,NA,NA,NA,NA,NA
Oxalis_gyrorhiza,Heibl02-035,NA,JN602093,NA,NA,JN620129,NA,NA,NA,JN627225
Oxalis_holosericea,HeiblPfanzelt05-025,JN634734,JN607481,NA,JN587327,JN620130,NA,JN620094,NA,JN627226
Oxalis_hypsophila,HeiblPfanzelt05-039,JN634735,NA,NA,JN587328,NA,NA,NA,NA,NA
Oxalis_hypsophila,HeiblPfanzelt05-040,NA,JN607482,NA,NA,JN620131,NA,NA,NA,NA
Oxalis_incana,HeiblPfanzelt05-045,JN634736,JN607483,NA,JN587329,JN620132,NA,JN620095,NA,JN627227
Oxalis_johnstonii,Heibl01-080,NA,JN607484,NA,NA,JN620133,NA,JN620096,NA,NA
Oxalis_laciniata,HeiblMunozToro04-053,NA,NA,NA,JN587310,NA,NA,NA,NA,NA
Oxalis_laciniata,HeiblMunozToro04-047,JN634737,NA,NA,NA,JN620134,NA,JN620097,NA,JN627228
Oxalis_laciniata,HeiblMunozToro04-044,NA,JN607485,NA,NA,NA,NA,NA,NA,NA
Oxalis_laxa_var_laxa,Heibl03-091,JN634738,JN607486,NA,JN587332,JN620135,NA,JN620098,NA,JN627229
Oxalis_laxa_var_hispidissima,Heibl02-027,JN634739,NA,NA,JN587333,JN620136,NA,JN620099,NA,JN627230
Oxalis_lomana,Heibl04-055,JN634740,NA,NA,JN587311,NA,NA,JN620100,NA,NA
Oxalis_loricata,HeiblPfanzelt05-006,JN634741,JN607487,NA,JN587312,JN620137,NA,NA,NA,NA
Oxalis_magellanica,HeiblBotGardenMunich02,JN634742,JN607488,NA,JN587313,JN620138,NA,JN620101,NA,JN627231
Oxalis_matancillae,HeiblMunozToro04-023,NA,NA,NA,JN587334,NA,NA,NA,NA,NA
Oxalis_megalorrhiza,Heibl03-086,NA,JN607489,NA,JN587314,NA,NA,NA,NA,NA
Oxalis_megalorrhiza,KrausK-139,JN634743,NA,NA,NA,JN620139,NA,JN620102,NA,JN627232
Oxalis_micrantha,Heibl03-092,JN634744,JN607490,NA,NA,JN620140,NA,NA,NA,JN627233
Oxalis_morenoensis,Heibl03-064,NA,NA,NA,JN587335,NA,NA,JN620103,NA,NA
Oxalis_morenoensis,Heibl01-009,JN634745,JN607491,NA,NA,JN620141,NA,NA,NA,NA
Oxalis_nahuelhuapiensis,Pfanzelt227,NA,JN607492,NA,NA,NA,NA,NA,NA,JN627234
Oxalis_novemfoliolata,Heibl01-078,NA,JN607493,NA,NA,JN620142,NA,NA,NA,NA
Oxalis_ornithopus,HeiblMunozToro04-015,NA,JN607494,NA,NA,NA,NA,JN620104,NA,JN627235
Oxalis_ornithopus,Heibl01-018,NA,NA,NA,JN587315,JN620143,NA,NA,NA,NA
Oxalis_pachyrrhiza,Weigend8479,JN634747,JN607495,NA,JN587316,JN620144,NA,JN620105,NA,NA
Oxalis_paposana,Heibl01-047,NA,NA,NA,JN587317,NA,NA,NA,NA,JN627236
Oxalis_paposana,Heibl03-062,JN634748,JN607496,NA,NA,JN620145,NA,JN620106,NA,NA
Oxalis_penicillata,HeiblPfanzelt05-032,JN634749,NA,NA,JN587336,NA,NA,JN620107,NA,JN627237
Oxalis_penicillata,HeiblPfanzelt05-033,NA,JN607497,NA,NA,JN620146,NA,NA,NA,NA
Oxalis_perdicaria,HeiblBotGardenMunich03,JN634750,NA,NA,JN587337,JN620147,NA,JN620108,NA,NA
Oxalis_pycnophylla,Heibl01-005,NA,JN607498,NA,JN587318,JN620148,NA,NA,NA,NA
Oxalis_ricardii,Heibl01-072,NA,NA,NA,JN587319,NA,NA,JN620109,NA,NA
Oxalis_rigida,Heibl03-096,NA,JN607499,NA,NA,JN620149,NA,NA,NA,NA
Oxalis_rosea,Heibl02-034,NA,JN607500,NA,JN587338,JN620150,NA,NA,NA,NA
Oxalis_rosea,Heibl03-014,JN634751,NA,NA,NA,NA,NA,NA,NA,JN627238
Oxalis_squamata,MunichBotGardencultJGrau,NA,JN607501,NA,NA,JN620151,NA,NA,NA,NA
Oxalis_squamata,HeiblPfanzelt05-027,JN634752,NA,NA,JN587339,NA,NA,JN620110,NA,NA
Oxalis_squarrosa,Arancio14804,NA,JN607502,NA,JN587340,NA,NA,NA,NA,NA
Oxalis_squarrosa,Munoz4534,JN634753,NA,NA,NA,NA,NA,NA,NA,JN627239
Oxalis_tortuosa,KrausK-94,JN634754,JN607503,NA,JN587341,NA,NA,JN620111,NA,JN627240
Oxalis_valdiviensis,HeiblPfanzelt05-016,JN634755,NA,NA,JN587342,JN620152,NA,JN620112,NA,NA
Oxalis_valdiviensis,Grau3052,NA,JN607504,NA,NA,NA,NA,NA,NA,NA
Oxalis_virgosa,Ehrhart6-134,NA,NA,NA,JN587343,JN620153,NA,NA,NA,NA
Oxalis_virgosa,HeiblMunozToro04-042,JN634756,NA,NA,NA,NA,NA,JN620113,NA,NA
Oxalis_virgosa,Heibl03-031,NA,JN607505,NA,NA,NA,NA,NA,NA,NA
Oxalis_chachahuensis,MartinezCarretero1570,MH220862,MH998371,NA,NA,NA,NA,NA,NA,NA
Oxalis_cinerea,Heibl03-095,JN634728,JN602085,NA,NA,NA,NA,NA,NA,NA
Oxalis_compacta,Zuloaga12313,MH220864,NA,NA,NA,NA,NA,NA,NA,NA
Oxalis_compacta,Teillier5013,JN634729,JN602086,NA,NA,NA,NA,NA,NA,NA
Oxalis_erythrorhiza,Zuloaga12781,MH220857,MH998365,NA,NA,NA,NA,NA,NA,NA
Oxalis_famatinae,Zuloaga11970,MH220858,MH998374,NA,NA,NA,NA,NA,NA,NA
Oxalis_fontana,GravendeelKoops302,NA,JN602091,NA,NA,NA,NA,NA,NA,NA
Oxalis_hypsophila,HeiblPfanzelt05-039,JN634735,NA,NA,NA,NA,NA,NA,NA,NA
Oxalis_laxa,Zuloaga12555,MH220854,NA,NA,NA,NA,NA,NA,NA,NA
Oxalis_laxa,Zuloaga12428,MH220866,MH998367,NA,NA,NA,NA,NA,NA,NA
Oxalis_laxa,Heibl03-091,JN634738,JN607486,NA,NA,NA,NA,NA,NA,NA
Oxalis_muscoides,Zuloaga12256,MH220856,MH998369,NA,NA,NA,NA,NA,NA,NA
Oxalis_nahuelhuapiensis,Biganzoli2126,MH220863,MH998372,NA,NA,NA,NA,NA,NA,NA
Oxalis_penicillata,HeiblPfanzelt05-032,JN634749,NA,NA,NA,NA,NA,NA,NA,NA
Oxalis_pycnophylla,Zuloaga11747,MH220861,MH998370,NA,NA,NA,NA,NA,NA,NA
Oxalis_spiralis,Zuloaga11469,MH220859,NA,NA,NA,NA,NA,NA,NA,NA
Oxalis_spiralis,Zuloaga11633,MH220860,NA,NA,NA,NA,NA,NA,NA,NA
Oxalis_squamata,Zuloaga12520,MH220855,MH998368,NA,NA,NA,NA,NA,NA,NA
Oxalis_squamata,HeiblPfanzelt05-027,JN634752,NA,NA,NA,NA,NA,NA,NA,NA
Oxalis_squarrosa,Munoz_4534,JN634753,NA,NA,NA,NA,NA,NA,NA,NA
Oxalis_subacaulis,Salomon245,MH220865,MH998373,NA,NA,NA,NA,NA,NA,NA
Oxalis_valdiviensis,ZavalaGallo81,MH220853,MH998366,NA,NA,NA,NA,NA,NA,NA
Oxalis_valdiviensis,ZavalaGallo128,MH220852,NA,NA,NA,NA,NA,NA,NA,NA
Oxalis_valdiviensis,HeiblPfanzelt05-016,JN634755,NA,NA,NA,NA,NA,NA,NA,NA
Oxalis_virgosa,Heibl03-031,JN634756,JN607505,NA,NA,NA,NA,NA,NA,NA
Oxalis_urbaniana,Oberlander32,NA,NA,NA,NA,AJ582362,NA,NA,NA,NA
Oxalis_adspersa,Dreyer635,NA,NA,NA,NA,AJ582290,NA,NA,NA,NA
Oxalis_argillacea,Dreyer786,NA,NA,NA,NA,AJ582294,NA,NA,NA,NA
Oxalis_argyrophylla,Oberlander40,NA,NA,NA,NA,AJ582295,NA,NA,NA,NA
Oxalis_aridicola,Dreyer672,NA,NA,NA,NA,AJ582296,NA,NA,NA,NA
Oxalis_bifida,Dreyer608,NA,NA,NA,NA,AJ582297,NA,NA,NA,NA
Oxalis_blastorrhiza,Dreyer788,NA,NA,NA,NA,AJ582298,NA,NA,NA,NA
Oxalis_burkei,Dreyer618,NA,NA,NA,NA,AJ582299,NA,NA,NA,NA
Oxalis_burtoniae,Oberlander31,NA,NA,NA,NA,AJ582300,NA,NA,NA,NA
Oxalis_campicola,Dreyer780,NA,NA,NA,NA,AJ582301,NA,NA,NA,NA
Oxalis_campylorrhiza,Dreyer696,NA,NA,NA,NA,AJ582302,NA,NA,NA,NA
Oxalis_capillacea,Dreyer627,NA,NA,NA,NA,AJ582303,NA,NA,NA,NA
Oxalis_capillacea,Dreyer625,NA,NA,NA,NA,AJ582304,NA,NA,NA,NA
Oxalis_caprina,Oberlander1,NA,NA,NA,NA,AJ582305,NA,NA,NA,NA
Oxalis_cf_helicoides,Dreyer688,NA,NA,NA,NA,AJ582306,NA,NA,NA,NA
Oxalis_ciliaris,Dreyer613,NA,NA,NA,NA,AJ582307,NA,NA,NA,NA
Oxalis_commutata,Dreyer606,NA,NA,NA,NA,AJ582308,NA,NA,NA,NA
Oxalis_comptonii,Dreyer802,NA,NA,NA,NA,AJ582309,NA,NA,NA,NA
Oxalis_corniculata,Oberlander25,NA,NA,NA,NA,AJ582310,NA,NA,NA,NA
Oxalis_crocea,Dreyer693,NA,NA,NA,NA,AJ582311,NA,NA,NA,NA
Oxalis_dentata,DreyerOberlander8,NA,NA,NA,NA,AJ582312,NA,NA,NA,NA
Oxalis_dregei,Oberlander19,NA,NA,NA,NA,AJ582313,NA,NA,NA,NA
Oxalis_ebracteata,Dreyer644,NA,NA,NA,NA,AJ582314,NA,NA,NA,NA
Oxalis_eckloniana,Dreyer628,NA,NA,NA,NA,AJ582315,NA,NA,NA,NA
Oxalis_engleriana,Oberlander10,NA,NA,NA,NA,AJ582316,NA,NA,NA,NA
Oxalis_exserta,Dreyer686,NA,NA,NA,NA,AJ582317,NA,NA,NA,NA
Oxalis_flava,Dreyer614,NA,NA,NA,NA,AJ582318,NA,NA,NA,NA
Oxalis_flaviuscula,Dreyer701,NA,NA,NA,NA,AJ582319,NA,NA,NA,NA
Oxalis_furcillata,Oberlander22,NA,NA,NA,NA,AJ582320,NA,NA,NA,NA
Oxalis_giftbergensis,Dreyer798,NA,NA,NA,NA,AJ582321,NA,NA,NA,NA
Oxalis_glabra,DreyerOberlander13,NA,NA,NA,NA,AJ582322,NA,NA,NA,NA
Oxalis_grammophylla,Dreyer670,NA,NA,NA,NA,AJ582323,NA,NA,NA,NA
Oxalis_hirta,Dreyer646,NA,NA,NA,NA,AJ582324,NA,NA,NA,NA
Oxalis_knuthiana,Dreyer721,NA,NA,NA,NA,AJ582325,NA,NA,NA,NA
Oxalis_latifolia,Oberlander23,NA,NA,NA,NA,AJ582326,NA,NA,NA,NA
Oxalis_leptogramma,Dreyer617,NA,NA,NA,NA,AJ582327,NA,NA,NA,NA
Oxalis_lichenoides,Dreyer785,NA,NA,NA,NA,AJ582328,NA,NA,NA,NA
Oxalis_linearis,Dreyer679,NA,NA,NA,NA,AJ582329,NA,NA,NA,NA
Oxalis_louisae,Dreyer708,NA,NA,NA,NA,AJ582330,NA,NA,NA,NA
Oxalis_luteola,Oberlander26,NA,NA,NA,NA,AJ582331,NA,NA,NA,NA
Oxalis_melanosticta,Dreyer622,NA,NA,NA,NA,AJ582332,NA,NA,NA,NA
Oxalis_minuta_var_callosa,KumwendaDreyer1,NA,NA,NA,NA,AJ582333,NA,NA,NA,NA
Oxalis_minuta_var_minuta,Dreyer727,NA,NA,NA,NA,AJ582334,NA,NA,NA,NA
Oxalis_monophylla,DreyerOberlander9,NA,NA,NA,NA,AJ582335,NA,NA,NA,NA
Oxalis_namaquana,Dreyer713,NA,NA,NA,NA,AJ582336,NA,NA,NA,NA
Oxalis_nidulans,Dreyer752,NA,NA,NA,NA,AJ582337,NA,NA,NA,NA
Oxalis_obtusa,Dreyer691,NA,NA,NA,NA,AJ582338,NA,NA,NA,NA
Oxalis_oculifera,Dreyer799,NA,NA,NA,NA,AJ582339,NA,NA,NA,NA
Oxalis_oligophylla,Dreyer797,NA,NA,NA,NA,AJ582340,NA,NA,NA,NA
Oxalis_oreophila,Dreyer666,NA,NA,NA,NA,AJ582341,NA,NA,NA,NA
Oxalis_pallens,Dreyer654,NA,NA,NA,NA,AJ582342,NA,NA,NA,NA
Oxalis_pes-caprae,Dreyer662,NA,NA,NA,NA,AJ582343,NA,NA,NA,NA
Oxalis_pocockiae,Dreyer626,NA,NA,NA,NA,AJ582344,NA,NA,NA,NA
Oxalis_polyphylla,DreyerOberlander10,NA,NA,NA,NA,AJ582345,NA,NA,NA,NA
Oxalis_primuloides,Dreyer711,NA,NA,NA,NA,AJ582346,NA,NA,NA,NA
Oxalis_pulchella,Dreyer612,NA,NA,NA,NA,AJ582347,NA,NA,NA,NA
Oxalis_punctata,DreyerOberlander11,NA,NA,NA,NA,AJ582367,NA,NA,NA,NA
Oxalis_purpurascens,Dreyer634,NA,NA,NA,NA,AJ582348,NA,NA,NA,NA
Oxalis_purpurea,Oberlander24,NA,NA,NA,NA,AJ582349,NA,NA,NA,NA
Oxalis_pusilla,Dreyer746,NA,NA,NA,NA,AJ582350,NA,NA,NA,NA
Oxalis_reclinata,Dreyer718,NA,NA,NA,NA,AJ582351,NA,NA,NA,NA
Oxalis_salteri,Dreyer784,NA,NA,NA,NA,AJ582352,NA,NA,NA,NA
Oxalis_stenopetala,Dreyer675,NA,NA,NA,NA,AJ582353,NA,NA,NA,NA
Oxalis_stenopetala,DreyerN,NA,NA,NA,NA,AJ582354,NA,NA,NA,NA
Oxalis_stictocheila,Dreyer749,NA,NA,NA,NA,AJ582355,NA,NA,NA,NA
Oxalis_tenella,Dreyer639,NA,NA,NA,NA,AJ582356,NA,NA,NA,NA
Oxalis_tenuifolia,Oberlander27,NA,NA,NA,NA,AJ582357,NA,NA,NA,NA
Oxalis_tenuipes,Dreyer800,NA,NA,NA,NA,AJ582358,NA,NA,NA,NA
Oxalis_tenuis,Dreyer793,NA,NA,NA,NA,AJ582359,NA,NA,NA,NA
Oxalis_tomentosa,DreyerOberlander12,NA,NA,NA,NA,AJ582360,NA,NA,NA,NA
Oxalis_truncatula,Dreyer605,NA,NA,NA,NA,AJ582361,NA,NA,NA,NA
Oxalis_versicolor,Oberlander34,NA,NA,NA,NA,AJ582363,NA,NA,NA,NA
Oxalis_viscosa,Dreyer642,NA,NA,NA,NA,AJ582364,NA,NA,NA,NA
Oxalis_xantha,Dreyer671,NA,NA,NA,NA,AJ582365,NA,NA,NA,NA
Oxalis_acetosella,Walter7182,EU436870,NA,NA,NA,EU437036,NA,NA,NA,NA
Oxalis_articulata_forma_crassipes,Emshwiller146,NA,NA,NA,NA,EU437146,NA,NA,NA,NA
Oxalis_articulata,UnknownN,Z66545,NA,NA,NA,NA,NA,NA,NA,NA
Oxalis_barrelieri,DBellstedt809,EU436866,NA,NA,NA,EU437033,NA,NA,NA,NA
Oxalis_brasiliensis,Holmes0008,EU436879,NA,NA,NA,EU437044,NA,NA,NA,NA
Oxalis_cf_megalorrhiza,Dreyer809,EU436871,NA,NA,NA,EU437037,NA,NA,NA,NA
Oxalis_corniculata,Emshwiller793,NA,NA,NA,NA,EU437126,NA,NA,NA,NA
Oxalis_corniculata,Oberlander0025,EU436867,NA,NA,NA,NA,NA,NA,NA,NA
Oxalis_debilis_var_debilis,Emshwiller171,NA,NA,NA,NA,EU437144,NA,NA,NA,NA
Oxalis_debilis_var_corymbosa,Emshwiller445,U74290,NA,NA,NA,NA,NA,NA,NA,NA
Oxalis_dillenii,Walter6565,EU436868,NA,NA,NA,NA,NA,NA,NA,NA
Oxalis_dillenii,Emshwiller1160,NA,NA,NA,NA,AJ582310,NA,NA,NA,NA
Oxalis_hypsophila,Dreyer805,EU436874,NA,NA,NA,EU437040,NA,NA,NA,NA
Oxalis_latifolia,Oberlander0023,EU436875,NA,NA,NA,AJ582326,NA,NA,NA,NA
Oxalis_micrantha,Emshwiller744,AF470234,NA,NA,NA,EU437140,NA,NA,NA,NA
Oxalis_pachyrrhiza,Emshwiller387,U74275,NA,NA,NA,EU437138,NA,NA,NA,NA
Oxalis_perdicaria,Botrand0002,EU436878,NA,NA,NA,EU437043,NA,NA,NA,NA
Oxalis_spiralis,Emshwiller590,NA,NA,NA,NA,EU437130,NA,NA,NA,NA
Oxalis_spiralis,Emshwiller187,AF098977,NA,NA,NA,NA,NA,NA,NA,NA
Oxalis_stricta,Walter6518,EU436869,NA,NA,NA,EU437035,NA,NA,NA,NA
Oxalis_tetraphylla,Holmes0009,EU436877,NA,NA,NA,EU437042,NA,NA,NA,NA
Oxalis_triangularis_subsp_papilionacea,Emshwiller456,NA,NA,NA,NA,EU437141,NA,NA,NA,NA
Oxalis_triangularis_subsp_triangularis,MO1165,FJ410328,NA,NA,NA,NA,NA,NA,NA,NA
Oxalis_valdiviensis,Botrand0001,EU436873,NA,NA,NA,EU437039,NA,NA,NA,NA
